Position,tag_name,tag_id
Account Sales Manager,Driver,4134370
Account Sales Trainee,Driver,4134370
Delivery Driver,Driver,4134370
District Manager,Manager,4134371
District Support Manager,Manager,4134371
Key Account Manager,Manager,4134371
Key Account Specialist,KAS,4276944
LF Delivery Driver,Driver,4134370
Market Manager,Manager,4134371
Merchandise Coordinator,Merch & Presell,3725920
Merchandiser,Merch & Presell,3725920
Merchandiser Lead,Merch & Presell,3725920
Merchandiser PT,Merch & Presell,3725920
Merchandiser Specialist,Merch & Presell,3725920
On Premise Account Manager,Driver,4134370
Pre-Sell ASM,Driver,4134370
Presell Delivery Driver,Driver,4134370
Regional Sales Manager,Manager,4134371
Reset Specialist,Reset,4134373
Reset Specialist Manager,Manager,4134371
Senior District Manager,Manager,4134371
Senior Key Account Manager,Manager,4134371
Territory Manager,Manager,4134371
Warehouse Associate,Warehouse,4134372
Warehouse Associate PT,Warehouse,4134372
Warehouse Lead,Warehouse,4134372
Warehouse Manager,Manager,4134371
Warehouse Support Team Lead,Warehouse,4134372
