ID,Address,Name,Latitude,Longitude,Radius
27392719,"414 E BROADWAY, LUBBOCK, TX 79403-4909",ABILENE WAREHOUSE (ABI),33.583759,-101.831627,250
29769539,"10 BUSINESS CIRCLE, ARDEN, NC 28704-8587",NORTH CAROLINA WAREHOUSE,35.46055,-82.529444,100
107921550,"6269 E Stassney Ln, Austin, TX 78744, USA",Austin Warehouse (AUS),30.200738,-97.717931,250
113380527,"1001 N Forest St, Amarillo, TX 79106, USA",Amarillo Warehouse,35.225044,-101.882386,79
113380669,"130 Tower Center Dr, Byron, GA 31008, USA",Byron Warehouse (BYR),32.647135,-83.742653,81
113380862,"21 Curtis Ct SW, Cartersville, GA 30120, USA",Cartersville Warehouse (CTV),34.142151,-84.84486,250
113381300,"2005 Sarasota Business Pkwy NE, Conyers, GA 30013, USA",Conyers Warehouse (CON),33.661999,-83.98288,161
113381411,"8340 Burnham Rd, El Paso, TX 79907, USA",El Paso Warehouse (ELP),31.73856,-106.32926,250
113381506,"2402 Tech Center Pkwy NE, Lawrenceville, GA 30043, USA",Lawrenceville Warehouse (LAW),34.040997,-84.001042,250
113382140,"12828 W County Rd 133, Odessa, TX 79765, USA",Midland Warehouse (MID),31.895188,-102.255632,72
113382608,"2647 Sunset Dr, San Angelo, TX 76904, USA",San Angelo Warehouse (SAN),31.420752,-100.47477,250
113382781,"5300 Westpark Dr SW, Atlanta, GA 30336, USA",Westpark Warehouse (ATL),33.735973,-84.562651,250
145880561,"2601 SE Loop 289, Lubbock, TX 79404, USA",Lubbock Warehouse (LUB),33.532916,-101.808465,162
156934916,"2247 Impact Drive, Abilene",Abilene Warehouse (ABI),32.499511,-99.748604,250
181008264,"1861 Polk St, Chattanooga, TN 37408, USA",Chattanooga Warehouse (TEN),35.027865,-85.297688,146
243944545,"2080 South A.W. Grimes Boulevard Suite 160, Round Rock",North Austin Warehouse (NAU),30.490257,-97.654092,250
244305385,"1070-3 Tunnel Rd, Asheville, NC 28805, USA",North Carolina Warehouse (NCO),35.588295,-82.491876,250
