encompass_id,name,action
8199,1 STOP FOOD STORE,create
8208,MOM'S #5,create
8212,7 DAYS FOOD STORE,create
8214,7 ELEVEN #12702,create
8215,7 ELEVEN #12705,create
8217,7 ELEVEN #16996,create
8219,7 ELEVEN #19097,create
8220,7 ELEVEN #19713,create
8225,7 ELEVEN #21884,create
8226,7 ELEVEN #22245,create
8228,7 ELEVEN #23295,create
8230,7 ELEVEN #23621,create
8231,7 ELEVEN #23807,create
8233,7 ELEVEN #24008,create
8235,7 ELEVEN #24909,create
8236,7 ELEVEN #25157,create
8242,7 ELEVEN #26353,create
8257,ACADEMY #25,create
8269,AIRPORT EXPRESS,create
8279,ALL STAR GROCERY,create
8280,ALL STAR GROCERY (TERI RD),create
8281,ALL STAR GROCERY 1,create
8292,AROUND THE CORNER STORE,create
8294,AA FOOD MART #2,create
8308,BAR G STORE,create
8320,BEN WHITE GAS & BEVERAGES,create
8322,BIG'S #108,create
8323,BERKMAN FOOD MART,create
8328,BESTOP FOOD MARKET,create
8340,BLUEBONNET FOOD MART,create
8341,TEXAN FOOD MART,create
8349,BREAD BASKET (HOLLY ST),create
8353,BRODIE FOOD MART,create
8359,BURNET FOOD MART,create
8364,C J FOOD PLAZA,create
8366,C MART (KOENIG LN,create
8367,C MART #10,create
8368,C MART #2,create
8370,C MART #7,create
8376,CANNON FOODMART,create
8378,EZ WAY FOOD MART,create
8387,CAVALIER FOOD MARKET,create
8392,GRAB N GO #6 (CHAP),create
8408,MR. ZIP #607,create
8412,PRIME FOOD MART,create
8413,MR ZIP #603,create
8414,POWERSTOP,create
8423,MIKE'S MINI MART,create
8424,SUPER MAX,create
8427,COOL SPOT MART,create
8429,CHRIS LIQUOR (LAMAR BLVD),create
8433,CIRCLE A STORE,create
8442,NEU HUB #3,create
8444,CLINTS LIQUOR #3,create
8453,CONOCO JDS #2,create
8454,LOYOLA GROCERIES STORE,create
8462,CORNER STORE #1300,create
8464,CORNER STORE #1302,create
8465,CORNER STORE #1303,create
8468,VALERO #1307,create
8471,VALERO #1311,create
8473,CORNER STORE #1319,create
8483,BARTON SPRINGS MARKET,create
8488,CORNER STORE #552,create
8490,CORNER STORE #80,create
8493,VALERO #967,create
8503,COUNTRY GROCERY,create
8511,CVS #6822,create
8514,CVS #6892,create
8518,CVS #6945,create
8519,CVS #6964,create
8520,CVS #7210,create
8521,CVS #7243,create
8522,CVS #7422,create
8525,CVS #10888,create
8534,CVS #8387,create
8536,CYPRESS BEND CAFETERIA #205,create
8537,BUDDIES MARKET AT SPRINGDALE,create
8554,MI AMIGO #1941,create
8565,969 VIBE EXPRESS,create
8566,KWICK IN,create
8585,ESCARPMENT EXXON,create
8591,NORTH BLUFF GROCERY STORE,create
8594,EXPRESS FOOD MART #4,create
8599,HIGHWAY FOOD MART,create
8601,SNACK TIME #3,create
8630,EZ FOOD STORE #3,create
8632,290 EXPRESS,create
8634,EZ STOP GROCERY & GAS,create
8638,GRABOOST,create
8647,FAYETTEVILLE STORE,create
8655,AL'S FOOD MART,create
8656,FIRST FOOD MART,create
8661,RBM FOOD MART #2,create
8663,FOOD SPOT (ELMONT DR),create
8664,FOOD SPOT #1939,create
8669,FRIENDLY FOOD MART,create
8675,AL'S FOOD MART (HWY 80),create
8699,H & R GROCERY,create
8700,2222 MARKET,create
8707,CEDAR CREEK EXPRESS,create
8709,HILL COUNTRY FOOD MART (HWY 71),create
8711,HILL COUNTRY STOP,create
8717,HITCHING POST DRIVE IN,create
8722,HRUSKAS GROCERY STORE,create
8723,HUDSON BEND GROCERY,create
8727,HWY 290 GEN STORE,create
8742,JESTER CITY LIMITS #205,create
8743,JESTER MARKET,create
8744,JET STOP #43002,create
8754,ANYDAY GROCERY,create
8757,JOHNS FOOD MART,create
8762,JUDYS LIQUOR,create
8770,KING LIQUOR #3,create
8771,KINGS FOOD MART,create
8774,KINSOLVING DORMITORY #205,create
8777,KOOL KORNER (MANOR RD),create
8778,YOUR C STORE #3,create
8784,KWIK MART (N LAMAR BLVD),create
8804,LAKE AUSTIN CHEVRON,create
8807,LAKE HILL GROCERY & MEAT MARKE,create
8808,LAKELINE GROCERY,create
8829,CHRIS' LIQUOR,create
8833,LITTLEFIELD PATIO CAFE #205,create
8840,LUCKY FOOD #1,create
8841,LUCKY FOOD #2,create
8847,M & M FOOD MART,create
8853,BREW MARKET & CAFE,create
8858,MANOR EXPRESS,create
8872,METRO FOOD MART,create
8873,METRO MART (TERI RD,create
8877,METS FOOD MART,create
8881,MILITARY EXCHANGE - CAMP MABRY,create
8890,BUDDIES MARKET @ MLK,create
8896,MOBIL FOOD MART (7TH ST),create
8897,ROSEDALE MARKET,create
8902,MONARCH QUICKSTOP,create
8903,RIO MARKET,create
8905,MONTOPOLIS GROCERY,create
8914,MUCHOS #2,create
8916,MURPHY USA #7209,create
8917,MURPHY USA #7211,create
8922,NEIGHBORHOOD C STORE #2,create
8925,NEW WORLD LIQUOR,create
8927,NORTHLOOP FOOD STORE,create
8932,SOUTH LAMAR WINE AND SPIRITS,create
8937,RED ROCK GROCERY,create
8958,PAC N GO 902,create
8959,PAK N SAVE,create
8969,PARK PLACE FOODS #5,create
8988,FRESHVILLE MARKET #2,create
8990,PICKYS PANTRY,create
8993,JEKS FOOD MART EAST,create
8996,JEKS FOOD MART WEST,create
9073,MA FOOD & GAS,create
9078,QUICK STOP (HARGRAVE ST),create
9081,MOMS #7,create
9083,LAMAR GROCERY,create
9084,QUICKIE PICKIE (WEST GATE BLVD),create
9095,FOOD BUCKET,create
9099,R S FOOD MART,create
9104,7-ELEVEN #41670,create
9125,RIVERSIDE GROCERY (E RIVERSIDE DR),create
9127,RIVERSIDE LIQUOR,create
9133,GARFIELD MARKET,create
9134,ROCKNE GROCERY,create
9136,ROUND TOP MERCANTILE,create
9141,RUDYS COUNTRY STORE (CAPITAL H,create
9176,SAMS FOOD MART #1145,create
9177,SAMS MINI MART,create
9184,SCHULENBERG FOOD MART,create
9194,SHELL MEDICAL PKWY,create
9195,EZ STOP #7,create
9198,FRED GROCERIES,create
9204,SHELL MINI MART #4,create
9209,SHEPARDS MARKET #2211,create
9212,SHOP 24 CONVENIENCE & FAST FD,create
9213,SOCO MARKET,create
9218,SHOPPERS FOOD MART,create
9256,DUVAL MARKET,create
9261,SPEEDI STOP CITGO,create
9264,SPEEDWAY MARKET,create
9286,SPEEDY PIC #7,create
9319,7 ELEVEN #36559,create
